Depth (mbsf)	Density(g/cc)	Vp(m/s)	Vs(m/s)
454.35	1.6810	1832.17	568.02
454.20	1.6700	1810.62	564.37
454.05	1.6710	1844.48	557.92
453.90	1.6810	1840.91	555.11
453.75	1.6820	1842.03	570.32
453.60	1.6790	1846.49	577.19
453.45	1.6750	1846.71	577.02
453.30	1.6750	1846.60	574.60
453.15	1.6880	1854.13	584.57
453.00	1.7140	1858.65	590.43
452.85	1.7390	1858.65	589.56
452.70	1.7490	1865.13	590.51
452.55	1.7380	1865.70	582.48
452.40	1.7270	1862.74	576.05
452.25	1.7240	1863.08	589.75
452.10	1.7310	1863.65	604.82
451.95	1.7430	1863.76	607.10
451.80	1.7590	1864.56	605.58
451.65	1.7680	1871.09	606.63
451.50	1.7600	1876.96	611.64
451.35	1.7470	1873.16	611.80
451.20	1.7450	1872.47	618.96
451.05	1.7790	1892.11	646.90
450.90	1.8280	1900.49	662.87
450.75	1.8670	1880.09	647.89
450.60	1.8810	1902.03	644.98
450.45	1.8790	1941.90	664.36
450.30	1.8600	1942.14	661.27
450.15	1.8330	1942.51	663.32
450.00	1.8110	1940.66	657.79
449.85	1.8010	1926.55	641.18
449.70	1.7880	1903.45	634.25
449.55	1.7670	1903.10	634.68
449.40	1.7490	1891.29	633.10
449.25	1.7330	1868.91	622.32
449.10	1.7320	1868.33	608.21
448.95	1.7350	1868.91	609.03
448.80	1.7480	1870.74	614.60
448.65	1.7660	1873.27	614.90
448.50	1.7720	1873.96	614.76
448.35	1.7620	1878.58	612.68
448.20	1.7400	1876.96	604.01
448.05	1.7100	1876.62	604.31
447.90	1.7090	1872.12	602.44
447.75	1.7190	1864.68	582.11
447.60	1.7510	1872.35	582.09
447.45	1.7670	1872.58	583.65
447.30	1.7750	1868.56	620.48
447.15	1.7700	1874.54	619.98
447.00	1.7640	1879.63	619.71
446.85	1.7660	1886.84	635.57
446.70	1.7790	1887.54	640.40
446.55	1.7950	1887.42	641.66
446.40	1.7990	1890.35	642.58
446.25	1.8030	1893.17	644.79
446.10	1.8050	1894.93	648.79
445.95	1.8030	1906.67	653.25
445.80	1.7940	1908.82	654.05
445.65	1.7800	1908.58	655.47
445.50	1.7730	1907.15	654.32
445.35	1.7740	1906.19	650.71
445.20	1.7800	1905.24	638.70
445.05	1.7830	1902.98	645.31
444.90	1.7930	1900.84	642.46
444.75	1.8000	1902.74	641.77
444.60	1.8030	1903.57	642.23
444.45	1.7980	1906.43	641.90
444.30	1.7880	1907.86	638.85
444.15	1.7790	1908.10	637.43
444.00	1.7600	1907.98	635.57
443.85	1.7440	1902.50	634.51
443.70	1.7370	1899.42	634.30
443.55	1.7510	1900.37	634.93
443.40	1.7760	1902.50	644.62
443.25	1.7910	1903.45	650.78
443.10	1.7930	1903.33	650.81
442.95	1.7870	1904.29	647.79
442.80	1.7800	1904.64	645.45
442.65	1.7730	1904.29	644.13
442.50	1.7720	1904.17	642.48
442.35	1.7790	1904.76	642.12
442.20	1.7850	1905.95	643.04
442.05	1.7820	1906.55	646.28
441.90	1.7760	1906.79	649.04
441.75	1.7790	1907.26	651.31
441.60	1.7910	1913.73	653.67
441.45	1.8120	1922.30	652.83
441.30	1.8270	1923.15	652.62
441.15	1.8250	1921.21	649.99
441.00	1.8010	1913.73	641.91
440.85	1.7620	1886.84	615.58
440.70	1.7230	1850.19	571.86
440.55	1.6880	1858.65	564.29
440.40	1.6590	1862.74	573.03
440.25	1.6400	1827.45	552.38
440.10	1.6360	1811.91	556.09
